Date,Channel,Installs
2014/5/24,Channel_15,90
2014/5/24,Channel_16,266
2014/5/24,Channel_10,91
2014/5/24,Channel_01,683
2014/5/24,Channel_03,19
2014/5/25,Channel_09,13
2014/5/25,Channel_15,105
2014/5/25,Channel_16,236
2014/5/25,Channel_10,103
2014/5/25,Channel_01,650
2014/5/25,Channel_03,26
2014/5/26,Channel_19,17
2014/5/26,Channel_09,13
2014/5/26,Channel_15,114
2014/5/26,Channel_16,262
2014/5/26,Channel_10,84
2014/5/26,Channel_01,536
2014/5/26,Channel_03,28
2014/5/27,Channel_19,3
2014/5/27,Channel_09,19
2014/5/27,Channel_15,165
2014/5/27,Channel_16,336
2014/5/27,Channel_10,136
2014/5/27,Channel_01,724
2014/5/27,Channel_03,36
2014/5/28,Channel_19,3
2014/5/28,Channel_09,25
2014/5/28,Channel_15,150
2014/5/28,Channel_16,373
2014/5/28,Channel_10,68
2014/5/28,Channel_01,671
2014/5/28,Channel_03,18
2014/5/29,Channel_19,12
2014/5/29,Channel_09,27
2014/5/29,Channel_15,150
2014/5/29,Channel_16,333
2014/5/29,Channel_10,80
2014/5/29,Channel_01,811
2014/5/29,Channel_03,34
2014/5/30,Channel_18,8
2014/5/30,Channel_19,14
2014/5/30,Channel_09,30
2014/5/30,Channel_15,168
2014/5/30,Channel_16,362
2014/5/30,Channel_10,100
2014/5/30,Channel_01,745
2014/5/30,Channel_03,17
2014/5/31,Channel_19,8
2014/5/31,Channel_09,5
2014/5/31,Channel_15,150
2014/5/31,Channel_16,291
2014/5/31,Channel_10,90
2014/5/31,Channel_01,853
2014/5/31,Channel_03,28
2014/6/1,Channel_20,8
2014/6/1,Channel_21,11
2014/6/1,Channel_09,16
2014/6/1,Channel_08,20
2014/6/1,Channel_15,162
2014/6/1,Channel_16,372
2014/6/1,Channel_10,92
2014/6/1,Channel_01,899
2014/6/1,Channel_02,26
2014/6/1,Channel_03,44
2014/6/2,Channel_19,24
2014/6/2,Channel_09,23
2014/6/2,Channel_15,138
2014/6/2,Channel_16,340
2014/6/2,Channel_10,111
2014/6/2,Channel_01,962
2014/6/2,Channel_03,36
2014/6/3,Channel_22,14
2014/6/3,Channel_09,7
2014/6/3,Channel_15,130
2014/6/3,Channel_16,289
2014/6/3,Channel_10,87
2014/6/3,Channel_01,1037
2014/6/3,Channel_03,24
2014/6/4,Channel_19,28
2014/6/4,Channel_09,4
2014/6/4,Channel_15,150
2014/6/4,Channel_16,333
2014/6/4,Channel_10,153
2014/6/4,Channel_01,1097
2014/6/4,Channel_03,5
2014/6/5,Channel_04,43
2014/6/5,Channel_23,18
2014/6/5,Channel_22,34
2014/6/5,Channel_19,12
2014/6/5,Channel_09,9
2014/6/5,Channel_15,190
2014/6/5,Channel_16,357
2014/6/5,Channel_10,143
2014/6/5,Channel_01,980
2014/6/5,Channel_24,18
2014/6/5,Channel_03,20
2014/6/6,Channel_04,72
2014/6/6,Channel_23,22
2014/6/6,Channel_22,13
2014/6/6,Channel_19,6
2014/6/6,Channel_09,23
2014/6/6,Channel_15,160
2014/6/6,Channel_16,460
2014/6/6,Channel_10,122
2014/6/6,Channel_01,1542
2014/6/6,Channel_03,11
2014/6/7,Channel_04,60
2014/6/7,Channel_25,29
2014/6/7,Channel_19,11
2014/6/7,Channel_09,10
2014/6/7,Channel_15,190
2014/6/7,Channel_16,636
2014/6/7,Channel_10,113
2014/6/7,Channel_01,1548
2014/6/7,Channel_03,23
2014/6/8,Channel_04,46
2014/6/8,Channel_19,14
2014/6/8,Channel_09,23
2014/6/8,Channel_15,213
2014/6/8,Channel_16,647
2014/6/8,Channel_10,78
2014/6/8,Channel_01,1152
2014/6/8,Channel_03,14
2014/6/9,Channel_04,25
2014/6/9,Channel_22,42
2014/6/9,Channel_09,20
2014/6/9,Channel_15,175
2014/6/9,Channel_16,563
2014/6/9,Channel_10,89
2014/6/9,Channel_01,808
2014/6/9,Channel_03,26
2014/6/10,Channel_04,50
2014/6/10,Channel_22,66
2014/6/10,Channel_26,32
2014/6/10,Channel_15,149
2014/6/10,Channel_16,603
2014/6/10,Channel_10,87
2014/6/10,Channel_01,896
2014/6/10,Channel_24,26
2014/6/10,Channel_03,10
2014/6/11,Channel_04,49
2014/6/11,Channel_22,84
2014/6/11,Channel_26,98
2014/6/11,Channel_19,24
2014/6/11,Channel_09,30
2014/6/11,Channel_08,20
2014/6/11,Channel_15,175
2014/6/11,Channel_16,631
2014/6/11,Channel_10,143
2014/6/11,Channel_01,1113
2014/6/11,Channel_03,14
2014/6/12,Channel_04,54
2014/6/12,Channel_22,74
2014/6/12,Channel_26,68
2014/6/12,Channel_19,28
2014/6/12,Channel_15,179
2014/6/12,Channel_16,731
2014/6/12,Channel_10,129
2014/6/12,Channel_01,900
2014/6/12,Channel_24,39
2014/6/12,Channel_03,29
2014/6/13,Channel_04,32
2014/6/13,Channel_22,61
2014/6/13,Channel_26,101
2014/6/13,Channel_19,21
2014/6/13,Channel_09,29
2014/6/13,Channel_15,192
2014/6/13,Channel_27,9
2014/6/13,Channel_16,871
2014/6/13,Channel_10,120
2014/6/13,Channel_01,891
2014/6/13,Channel_24,86
2014/6/13,Channel_03,27
2014/6/14,Channel_04,33
2014/6/14,Channel_22,31
2014/6/14,Channel_26,97
2014/6/14,Channel_19,21
2014/6/14,Channel_14,11
2014/6/14,Channel_09,29
2014/6/14,Channel_15,209
2014/6/14,Channel_27,18
2014/6/14,Channel_16,732
2014/6/14,Channel_10,112
2014/6/14,Channel_01,1030
2014/6/14,Channel_24,71
2014/6/14,Channel_03,29
2014/6/15,Channel_04,20
2014/6/15,Channel_26,97
2014/6/15,Channel_14,19
2014/6/15,Channel_15,180
2014/6/15,Channel_27,30
2014/6/15,Channel_16,793
2014/6/15,Channel_10,125
2014/6/15,Channel_01,1110
2014/6/15,Channel_24,86
2014/6/15,Channel_03,6
2014/6/16,Channel_04,10
2014/6/16,Channel_26,61
2014/6/16,Channel_19,6
2014/6/16,Channel_09,25
2014/6/16,Channel_15,191
2014/6/16,Channel_27,31
2014/6/16,Channel_16,846
2014/6/16,Channel_10,110
2014/6/16,Channel_01,1036
2014/6/16,Channel_24,79
2014/6/16,Channel_03,26
2014/6/17,Channel_04,4
2014/6/17,Channel_26,72
2014/6/17,Channel_09,18
2014/6/17,Channel_15,167
2014/6/17,Channel_27,16
2014/6/17,Channel_16,694
2014/6/17,Channel_10,86
2014/6/17,Channel_01,1002
2014/6/17,Channel_24,70
2014/6/17,Channel_03,9
2014/6/18,Channel_04,7
2014/6/18,Channel_26,77
2014/6/18,Channel_19,14
2014/6/18,Channel_09,1
2014/6/18,Channel_15,161
2014/6/18,Channel_27,8
2014/6/18,Channel_16,842
2014/6/18,Channel_10,73
2014/6/18,Channel_01,1038
2014/6/18,Channel_24,111
2014/6/18,Channel_28,24
2014/6/18,Channel_03,6
2014/6/19,Channel_26,106
2014/6/19,Channel_09,11
2014/6/19,Channel_15,152
2014/6/19,Channel_27,11
2014/6/19,Channel_16,771
2014/6/19,Channel_10,81
2014/6/19,Channel_01,899
2014/6/19,Channel_24,101
2014/6/19,Channel_03,34
